variable,classification,scope,owner,action
GROK_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
GROK_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
GROK_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_GROK_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_GROK_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_MINIMAX_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_MINIMAX_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_NANO_BANANA_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_NANO_BANANA_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_OPENAI_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_OPENAI_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_QWEN_IMAGE_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_QWEN_IMAGE_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_SEEDREAM_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
IMAGE_SEEDREAM_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
KIMI_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
KIMI_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
KIMI_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
MINIMAX_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
MINIMAX_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
MINIMAX_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
OPENAI_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
OPENAI_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
OPENAI_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
OPENROUTER_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
OPENROUTER_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
OPENROUTER_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
PDF_MINERU_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
PDF_MINERU_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
PDF_UNPDF_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
PDF_UNPDF_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
QWEN_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
QWEN_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
QWEN_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
SILICONFLOW_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
SILICONFLOW_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
SILICONFLOW_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
TAVILY_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TENCENT_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TENCENT_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
TENCENT_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
TTS_AZURE_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TTS_AZURE_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
TTS_ELEVENLABS_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TTS_ELEVENLABS_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
TTS_GLM_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TTS_GLM_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
TTS_MINIMAX_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TTS_MINIMAX_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
TTS_OPENAI_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TTS_OPENAI_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
TTS_QWEN_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
TTS_QWEN_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_GROK_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_GROK_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_HAPPYHORSE_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_HAPPYHORSE_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_KLING_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_KLING_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_MINIMAX_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_MINIMAX_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_SEEDANCE_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_SEEDANCE_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_SORA_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_SORA_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_VEO_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
VIDEO_VEO_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
WEB_SEARCH_MINIMAX_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
WEB_SEARCH_MINIMAX_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
XIAOMI_API_KEY,secret,development|preview|production,pending-m0,verify-value-and-scope
XIAOMI_BASE_URL,config,development|preview|production,pending-m0,verify-value-and-scope
XIAOMI_MODELS,config,development|preview|production,pending-m0,verify-value-and-scope
